time,seconds_elapsed,z,y,x
1746729092744758000,0.022758056640625,-0.09782499893605709,-0.030503631006320937,-0.01949919358221814
1746729092754774800,0.03277490234375,-0.10007073203623294,-0.031621821381291375,-0.017636176189314574
1746729092764792000,0.0427919921875,-0.09917115284800529,-0.024455071557080373,-0.014065825155563651
1746729092774809900,0.052809814453125,-0.10755319674611091,-0.031448894233489406,-0.01331551824491471
1746729092784827000,0.062826904296875,-0.09902151524424552,-0.03653049921356141,-0.01208119067698717
1746729092794845000,0.072844970703125,-0.1247550914376974,-0.017800764767033978,-0.00988316917605698
1746729092804862000,0.082862060546875,-0.09333002560436725,-0.018425846995972096,-0.014560933462437241
1746729092814880000,0.0928798828125,-0.12086100660860538,-0.026827682439936322,-0.021190544202644376
1746729092824896800,0.102896728515625,-0.08120587256848812,-0.024921492625586687,-0.012703633424267172
1746729092834914000,0.1129140625,-0.12444938648939131,-0.03185099962782115,-0.012428889869805424
1746729092844931800,0.122931884765625,-0.08689327055513858,-0.026455643390305338,-0.01951121281357482
1746729092854948000,0.132947998046875,-0.12250585120618343,-0.02648649518629536,-0.011016155261360109
1746729092864966100,0.142966064453125,-0.08644611130952834,-0.02529771465999074,-0.024754666425008325
1746729092874983200,0.152983154296875,-0.10604863740205764,-0.026590503550041465,-0.010949026575591414
1746729092885000000,0.163,-0.09363397698700428,-0.020400791197596118,-0.010173640022613107
1746729092895018000,0.17301806640625,-0.10470540609955788,-0.02690474799782969,-0.016631803186051546
1746729092905035000,0.183034912109375,-0.09871931742727756,-0.02198352121124044,-0.01780353211285546
1746729092915053000,0.193052978515625,-0.102909170332551,-0.02055967155373655,-0.022478793914895503
1746729092925070000,0.203070068359375,-0.09976385804414749,-0.022702446602936834,-0.024696543029602617
1746729092935088000,0.213088134765625,-0.10500292774140835,-0.03061089990623295,-0.01166641759732738
1746729092945105200,0.223105224609375,-0.10634499000012874,-0.025119408084172755,-0.012609488867409526
1746729092955122000,0.233121826171875,-0.09541793779432774,-0.020314446354703978,-0.018885883989464492
1746729092965140200,0.24314013671875,-0.1060416231393814,-0.0263954650351312,-0.013574662371445447
1746729092975157000,0.253156982421875,-0.09706336691379547,-0.023218953890865666,-0.01685339178116992
1746729092985175000,0.263175048828125,-0.1136748944967985,-0.02668125057341531,-0.009525642708968371
1746729092995192000,0.273192138671875,-0.09601707273125648,-0.02643600710807368,-0.01863992813806981
1746729093005210000,0.283210205078125,-0.09721768069267273,-0.02318243953906931,-0.014020287247095257
1746729093015227100,0.29322705078125,-0.09302958135306835,-0.02302552281115204,-0.014452395054046064
1746729093025244000,0.303243896484375,-0.10664601877331734,-0.015525421979883684,-0.01672923567853868
1746729093035262200,0.31326220703125,-0.0955675753980875,-0.017151187417656182,-0.011999065351486206
1746729093045279000,0.323279052734375,-0.1012532198190689,-0.02448642567656934,-0.013695347875356673
1746729093055297000,0.333297119140625,-0.09990940399467944,-0.018316066478565336,-0.016343323367182163
1746729093065314000,0.34331396484375,-0.11143208400607109,-0.026333971505705267,-0.023061416108440605
1746729093075332000,0.35333203125,-0.08225099770724772,-0.012847297944966703,-0.011225012239068745
1746729093085349000,0.36334912109375,-0.1022989294797182,-0.015859640636621042,-0.01205046674516052
1746729093095366000,0.373365966796875,-0.10214695378839969,-0.024693008498800916,-0.010313980075065047
1746729093105384200,0.38338427734375,-0.0960077203810215,-0.019675052472623064,-0.010614625255763531
1746729093115401000,0.39340087890625,-0.10259002138078212,-0.0143527340718545,-0.010806585897598414
1746729093125419300,0.403419189453125,-0.11321370672583579,-0.026081448916206135,-0.017754249611031264
1746729093135436000,0.41343603515625,-0.10348667795956135,-0.018758138557104394,-0.017957535364478826
1746729093145454000,0.4234541015625,-0.10812135202288627,-0.0221468128810171,-0.010712934531085192
1746729093155471000,0.43347119140625,-0.09779460379779338,-0.025546720984997225,-0.007552863064967095
1746729093165488000,0.443488037109375,-0.10033668949604034,-0.017447329953173173,-0.01061362060876563
1746729093175506200,0.453506103515625,-0.10706921262145042,-0.017090607203682884,-0.013078238890320061
