time,seconds_elapsed,roll,rotationRateZ,quaternionY,rotationRateY,quaternionZ,quaternionW,yaw,devicelocation,accelerationZ,pitch,gravityX,gravityZ,quaternionX,rotationRateX,accelerationX,gravityY,accelerationY
1746728839767667000,0.1856669921875,1.1079710525315263,0.006170331966131926,0.522655029692524,-0.046658094972372055,-1.2758005538577427e-17,0.8494242834000176,0.07683713079936669,left,-0.43013283610343933,-0.12411242440780695,8.707440804353356,-4.344772248828411,-0.07286937539888777,0.03185324743390083,-1.0613917112350464,1.2140049108669162,0.3085362911224365
1746728839807666700,0.225666748046875,0.37358818585919545,0.012340663932263851,0.2077291193484826,-0.09331619739532471,-0.16793093489731034,0.9465658449056461,-0.2697486183784538,left,-0.023710429668426514,-0.4245384304459303,3.2613071502804756,-8.319724512314796,-0.18072273656453317,0.06370650231838226,-0.5148258805274963,4.039361899554729,0.00793987512588501
1746728839847666700,0.265666748046875,0.041203437006830844,0.022620774805545807,0.07143110249765434,-0.12703895568847656,-0.22756007197336614,0.9468151439694333,-0.4621476706939941,left,0.013113260269165039,-0.4573026735704442,0.3624462051710114,-8.791516094878315,-0.2159977149604469,0.06356559693813324,-0.21980153024196625,4.329926269613206,-0.028338253498077393
1746728839887666700,0.305666748046875,-0.12331051478302939,0.018205612897872925,0.002596457735937632,-0.1141941100358963,-0.253429042501384,0.9399525604601853,-0.554688223225477,left,0.0034066438674926758,-0.44566095567375685,-1.0883860422067344,-8.7816043571949,-0.2285957581020413,0.06637788563966751,-0.07930619269609451,4.227200054632127,-0.028301090002059937
1746728839927666700,0.345666748046875,-0.15734447195860943,0.0009472742676734924,-0.012826561594671949,-0.10574330389499664,-0.2582345845229204,0.9386033421242674,-0.5718767751831597,left,0.0027903318405151367,-0.4358274999654584,-1.3930172238014638,-8.780115579941869,-0.2284166251560955,0.08016350120306015,-0.0586632639169693,4.139982666689157,-0.027442574501037598
1746728839967666700,0.385666748046875,-0.1910305104170108,-0.01631106436252594,-0.028246226542965446,-0.09729249775409698,-0.26297227004876844,0.937007378888201,-0.5886085998743154,left,0.001277625560760498,-0.42547337149279146,-1.6959867557942867,-8.76983559346795,-0.22817746880061746,0.09394910931587219,-0.038189783692359924,4.047715009619296,-0.02606910467147827
1746728840007667000,0.4256669921875,-0.21007634048193413,-0.08404399454593658,-0.03749485869263633,-0.06476761400699615,-0.26581076416993393,0.9362472168106368,-0.5978050225981042,left,-0.0101776123046875,-0.41643988594124975,-1.87024675963521,-8.771349505162238,-0.22667103386577403,0.14881566166877747,-0.02592560648918152,3.9668610192283986,-0.025001317262649536
1746728840047666700,0.465666748046875,-0.2177415161981921,-0.13665349781513214,-0.041649547707074984,-0.028292126953601837,-0.2680005339161883,0.93601009205314,-0.6030471145554922,left,-0.008884429931640625,-0.4089376489523676,-1.9437994871020317,-8.785567415606975,-0.22433465439038727,0.1848575621843338,-0.017971590161323547,3.8994659376084804,-0.027940690517425537
1746728840087666700,0.505666748046875,-0.22533916372805496,-0.1892630010843277,-0.04580308156814028,0.008183363825082779,-0.2701829275187548,0.9357471501139678,-0.6082097179324889,left,-0.007676422595977783,-0.40139896019388416,-2.0170035472616554,-8.798950044271349,-0.22199207861663833,0.22089946269989014,-0.01005314290523529,3.831522282195091,-0.030824124813079834
1746728840127666700,0.545666748046875,-0.22871884082884,-0.24700769782066345,-0.048880274048086765,0.028684459626674652,-0.27535240243109216,0.9356285929703214,-0.61727305323621,left,-0.005095064640045166,-0.38560763432105705,-2.0601921161249277,-8.849913338789344,-0.21538505061025687,0.30871671438217163,0.00038279592990875244,3.6884997126609087,-0.021555572748184204
1746728840167666700,0.585666748046875,-0.2319238048870046,-0.304752379655838,-0.05195356877628901,0.049185559153556824,-0.2804999050702915,0.935435442283025,-0.6262225553053001,left,-0.002711057662963867,-0.3697889135768269,-2.1016944854669273,-8.898941281330584,-0.20876083310029855,0.3965339660644531,0.0106467604637146,3.5443066380426287,-0.012167662382125854
1746728840207666700,0.625666748046875,-0.2327901804434233,-0.30387556552886963,-0.05485391316418845,0.05391302704811096,-0.2865883419037621,0.9354986507678371,-0.6356835385389742,left,-0.0034376978874206543,-0.3483573057245557,-2.126441242580116,-8.968979278674722,-0.19924947356237932,0.4789295196533203,0.009068340063095093,3.347542249187827,0.0006413161754608154
1746728840247667000,0.6656669921875,-0.23254247207531256,-0.28699588775634766,-0.056622069401591486,0.05127663537859917,-0.2907154996293481,0.9355643468481506,-0.6418234154080854,left,-0.0071076154708862305,-0.33311219737930736,-2.135732948669046,-9.018121787506342,-0.1923478339286293,0.4231427311897278,0.007981941103935242,3.20663506437242,-0.015369564294815063
1746728840287666700,0.705666748046875,-0.23219751343174724,-0.2701161801815033,-0.05838638670006363,0.04864024370908737,-0.2948229444110417,0.9355666093400852,-0.6479357566813212,left,-0.010969996452331543,-0.3178688323469726,-2.1436218022227287,-9.065376290634275,-0.18543316819212782,0.36735594272613525,0.006752520799636841,3.064998980760574,-0.03130608797073364
1746728840327666700,0.745666748046875,-0.23115910370890252,-0.2721903622150421,-0.05881772588553343,0.07858651876449585,-0.29980944541660104,0.9348702400531991,-0.6566512329529554,left,-0.008554279804229736,-0.30752055288613755,-2.141359410248697,-9.097985013294219,-0.18075484998939917,0.23151715099811554,-0.0014067143201828003,2.968438594932854,-0.0286027193069458
1746728840367666700,0.785666748046875,-0.23002971553418478,-0.27426451444625854,-0.05924626829678204,0.10853278636932373,-0.3047816734860994,0.9341295306873548,-0.6653497310314278,left,-0.006220221519470215,-0.2971812636376527,-2.1379666990704833,-9.129794110009074,-0.1760679527440823,0.09567835927009583,-0.00968123972415924,2.871644692610204,-0.025875478982925415
1746728840407666700,0.825666748046875,-0.22874672474812857,-0.2717580497264862,-0.05820487682454159,0.1065417155623436,-0.31082009392336474,0.9324889535641787,-0.677444433070669,left,-0.0008255839347839355,-0.2935447673727812,-2.1286054348766803,-9.142639563056827,-0.17454880424492564,0.0024592801928520203,-0.00535939633846283,2.8375270266920327,-0.030927836894989014
1746728840447666700,0.865666748046875,-0.22834903318194466,-0.2638998031616211,-0.05718635157395906,0.10788027197122574,-0.31666757770129444,0.9306455953382115,-0.6896975741564001,left,0.004596054553985596,-0.2921824177506847,-2.1258423999041316,-9.147242672938107,-0.17421291165294367,-0.08365911990404129,0.0005910545587539673,2.8247359341800213,-0.012698113918304443
1746728840487666700,0.905666748046875,-0.22831883062739441,-0.23251982033252716,-0.05631761265976178,0.09296773374080658,-0.32117260864244707,0.9290980617705664,-0.6993906488368394,left,-0.0007814168930053711,-0.29223752807229453,-2.1255308497369287,-9.147154994654654,-0.1745084655521158,-0.10079038143157959,0.005658850073814392,2.8252532360523936,-0.002587616443634033
1746728840527666700,0.945666748046875,-0.22828916442092392,-0.20113983750343323,-0.05544754275336868,0.07805520296096802,-0.3256700654681088,0.9275287320019356,-0.7090838685782379,left,-0.006159067153930664,-0.29229291509743194,-2.125224121875316,-9.147065562805533,-0.17479989670786028,-0.11792163550853729,0.01072712242603302,2.8257734605342146,0.0075225830078125
1746728840567666700,0.985666748046875,-0.22675280757341335,-0.1538023054599762,-0.05346858197277234,0.1051933541893959,-0.330103016665791,0.9258720405056724,-0.7187535001395652,left,-0.0164412260055542,-0.2946291473263046,-2.1096786160886287,-9.14386238285005,-0.17588028564960145,-0.15561258792877197,0.01360534131526947,2.8477047218352554,0.031270503997802734
1746728840607666700,1.025666748046875,-0.22507459512454603,-0.09484045952558517,-0.0502634993495128,0.040280796587467194,-0.33322623298771586,0.9241158815797255,-0.7267825628603234,left,0.0028916001319885254,-0.3040715862712955,-2.0882358689568936,-9.120771430119872,-0.18012119531613127,-0.18029557168483734,0.004564255475997925,2.9361849693208932,0.025340944528579712
1746728840647666700,1.065666748046875,-0.22383000736168593,-0.044487401843070984,-0.04787761596715433,0.17619025707244873,-0.3351371819490905,0.9229093209849739,-0.7319288804144906,left,-0.021615028381347656,-0.31140808064082204,-2.0720453432649375,-9.102114075922966,-0.18338228195122536,-0.11613042652606964,0.003709271550178528,3.0047511405467984,0.03688874840736389
1746728840687666700,1.105666748046875,-0.22191203771763873,-0.0454399399459362,-0.045953905656788474,0.13087907433509827,-0.33588008086992976,0.922370432873899,-0.7339506250174966,left,-0.016586124897003174,-0.3160424759344186,-2.0514970607548952,-9.09238996976614,-0.18521706462129628,-0.10446865111589432,0.006156131625175476,3.047980918203294,0.022994011640548706
1746728840727666700,1.145666748046875,-0.22000103202003596,-0.046392474323511124,-0.04402983242228089,0.0855678841471672,-0.33662033675965236,0.9218243736717358,-0.7359661905326013,left,-0.011584281921386719,-0.320680595590798,-2.03101073756516,-9.082399906149506,-0.1870503845610502,-0.092806875705719,0.00860932469367981,3.0911797161996364,0.009102404117584229
1746728840767667000,1.1856669921875,-0.2186370290259214,-0.05409872159361839,-0.042589999754123906,0.08247549086809158,-0.33750114731727865,0.9213040921055763,-0.7381619365939017,left,-0.004003703594207764,-0.32395379144442404,-2.0164150798492133,-9.075236005869508,-0.18835557202369685,-0.07238864153623581,0.00625765323638916,3.121625707867741,0.0037005841732025146
1746728840807666700,1.225666748046875,-0.21727907535414953,-0.061804965138435364,-0.04114996055935413,0.07938310503959656,-0.33838024994708854,0.9207793069629459,-0.7403551732189394,left,0.0035625696182250977,-0.32722981148243346,-2.0018740749299524,-9.067931235814093,-0.1896598555179593,-0.051970403641462326,0.00391155481338501,3.1520646852731704,-0.0017005205154418945
