time,seconds_elapsed,roll,rotationRateZ,quaternionY,rotationRateY,quaternionZ,quaternionW,yaw,devicelocation,accelerationZ,pitch,gravityX,gravityZ,quaternionX,rotationRateX,accelerationX,gravityY,accelerationY
1746729001484601300,0.250601318359375,-0.24068753249680808,0.03177816420793533,-0.10972561043295093,-0.029006250202655792,1.6820038973232464e-17,0.9651179910312483,-0.058745520839941216,left,-0.005823215469717979,-0.4766917884978634,-2.0770127564139664,-8.462212828841805,-0.23771305241320245,-0.04846407473087311,0.002989481668919325,4.499706497691571,-0.00026172579964622855
1746729001524601300,0.290601318359375,-0.23937421009668786,0.05468713119626045,-0.10955325260666683,-0.05826183408498764,0.0016586991309812886,0.9652283402999697,-0.05494117521012308,left,-0.003266751766204834,-0.47634609547272017,-2.066266175341606,-8.466443598279357,-0.23733849001437574,-0.025219017639756203,-0.0002787858247756958,4.496694164133071,0.00046512484550476074
1746729001564601000,0.33060107421875,-0.23806259806759927,0.07759609818458557,-0.10938057444491192,-0.08751742541790009,0.003317402427972238,0.9653358235860312,-0.05113800270672941,left,-0.0007101297378540039,-0.4759959161021847,-2.055530846315622,-8.470676121282578,-0.23696321592121458,-0.0019739605486392975,-0.003545895218849182,4.4936420830860735,0.0011960268020629883
1746729001604601000,0.37060107421875,-0.23972746816778837,0.07253125309944153,-0.11053306829374772,-0.06992597877979279,0.0049086030572087075,0.9652578467500271,-0.048228408154404434,left,-0.0009601116180419922,-0.4758270770034099,-2.0698107160806654,-8.467979137283564,-0.23671844774770945,0.00831522885710001,-0.01008516550064087,4.492170256967842,-0.0003826022148132324
1746729001644601000,0.41060107421875,-0.24139275955883663,0.06746640801429749,-0.1116851367464473,-0.05233452841639519,0.006499767114743629,0.9651760344936118,-0.0453187958596405,left,-0.0012145042419433594,-0.4756625306848457,-2.084086055801064,-8.465238314142823,-0.23647275699273135,0.018604418262839317,-0.016624867916107178,4.490735840250552,-0.001965075731277466
1746729001684601000,0.45060107421875,-0.2430584678015526,0.062401555478572845,-0.11283676925099187,-0.03474307805299759,0.00809089447804786,0.9650904711103917,-0.04240915259215336,left,-0.0014734268188476562,-0.4755023454799649,-2.0983570116072894,-8.462453067338465,-0.2362261541776615,0.0288936085999012,-0.023165062069892883,4.48933941745609,-0.0035514235496520996
1746729001724601300,0.490601318359375,-0.24629484947656505,0.03114604577422142,-0.11451762160083565,-0.00843220017850399,0.00851866812529,0.965218292226472,-0.041964392931384535,left,-0.0005804300308227539,-0.4727815113780738,-2.1287039268150925,-8.467432609316706,-0.23487607207593508,0.028068626299500465,-0.01868698000907898,4.465600522211194,-0.005587399005889893
1746729001764601300,0.530601318359375,-0.24952806695229174,-0.00010946393013000488,-0.11619792242047862,0.017878679558634758,0.008946490719735443,0.9653414351085936,-0.041510183354130814,left,0.00029522180557250977,-0.4700620063854076,-2.1590607788950202,-8.472242639946938,-0.2335248564749569,0.02724364586174488,-0.014207899570465088,4.441840291917324,-0.007621198892593384
1746729001804601000,0.57060107421875,-0.2530291808313365,-0.05591427907347679,-0.11763316292604012,0.023009691387414932,0.007680656695969832,0.965569379905149,-0.04449108922866564,left,0.002042531967163086,-0.4663676098732331,-2.192802889499068,-8.48046101771593,-0.2319034708155145,0.04849178344011307,-0.0138387531042099,4.409509801676869,-0.004041492938995361
1746729001844601000,0.61060107421875,-0.2565165442074347,-0.12280091643333435,-0.11900835315108706,0.011096607893705368,0.00563226367445037,0.9661283889176067,-0.048671725657424836,left,-0.004736721515655518,-0.4596778698804213,-2.229798302810639,-8.50110633085966,-0.22891308787919118,0.13147735595703125,-0.004713460803031921,4.3508135748192664,-0.0036722123622894287
1746729001884601000,0.65060107421875,-0.25918634161808035,-0.14976057410240173,-0.11996639764366501,0.025022311136126518,0.003259659559731224,0.9667572276567636,-0.053255694704480626,left,-0.004379868507385254,-0.45263470389323307,-2.2602843342281878,-8.52453163011074,-0.22578281363844746,0.1922484040260315,-0.0008033514022827148,4.2888060314565895,0.0014958381652832031
1746729001924601000,0.69060107421875,-0.2609014353485352,-0.177632674574852,-0.1205206866576113,0.034785471856594086,0.00010346787030777546,0.9679028282872474,-0.05859930948209596,left,-0.0030295252799987793,-0.4411194176125729,-2.2874897365398703,-8.567792095166444,-0.2205423108680028,0.2908017635345459,0.006802231073379517,4.186969458791613,-0.0018016993999481201
1746729001964601300,0.730601318359375,-0.26077776311342743,-0.1827588975429535,-0.12037917857708477,0.056943997740745544,-0.002844157257953426,0.9692930575758886,-0.0628378894205175,left,-0.006050407886505127,-0.42790655032117114,-2.3004937411502,-8.620776666378974,-0.21440975341163454,0.3531970977783203,0.012742012739181519,4.069437012083828,0.0024244189262390137
1746729002004601300,0.770601318359375,-0.2596039619592192,-0.16025875508785248,-0.1199049230809167,0.04256307706236839,-0.005187299508696703,0.970703932425644,-0.06559047140763385,left,0.002143383026123047,-0.4146562129206533,-2.304013147448003,-8.674827405518293,-0.2081578395822821,0.3941214680671692,0.010291457176208496,3.950857978932559,0.0015679001808166504
1746729002044601000,0.81060107421875,-0.2584032858597773,-0.13159817457199097,-0.11963694901520526,0.0004192963242530823,-0.007089192911201619,0.9723377734818222,-0.06706365294482561,left,0.0012842416763305664,-0.3986679934978786,-2.3094436480641365,-8.737546019759774,-0.200489689608163,0.40138283371925354,0.011959180235862732,3.8068554584503174,-0.007695376873016357
1746729002084601000,0.85060107421875,-0.2578369075586098,-0.09741730988025665,-0.11972838492510446,-0.007701403461396694,-0.00821350354168965,0.9736715210452314,-0.06737939842424884,left,0.00041365623474121094,-0.3848747624306483,-2.3176640716597436,-8.788792807394266,-0.19380758022053338,0.38011598587036133,0.009938210248947144,3.6818396702498197,-0.008675217628479004
1746729002124601000,0.89060107421875,-0.2575367691971348,-0.08099956810474396,-0.1199355399107663,-0.021233752369880676,-0.008758894627556078,0.9746933380976035,-0.06694913217098603,left,-0.000506281852722168,-0.3739027734954218,-2.3251756163336337,-8.82802299402058,-0.18844508438723756,0.3469066023826599,0.004372641444206238,3.5818928568542003,-0.011664807796478271
1746729002164601000,0.93060107421875,-0.2572429816124965,-0.06458182632923126,-0.12013909430948347,-0.034766100347042084,-0.009303990192221499,0.9756858213421633,-0.06652415115202494,left,-0.0015355348587036133,-0.36293071556621026,-2.332440638900548,-8.866180582979322,-0.18307691983262528,0.3136972188949585,-0.0012181103229522705,3.481514081782102,-0.014610260725021362
1746729002204601300,0.970601318359375,-0.2569431342123403,-0.06845461577177048,-0.1203505725341365,0.005644116550683975,-0.009709008399045978,0.9766333267388877,-0.06584375133785653,left,-0.014725565910339355,-0.3521653655548027,-2.339171408460289,-8.902614416885376,-0.17778835066453702,0.25099146366119385,-0.0012260377407073975,3.382619407787919,-0.01761937141418457
1746729002244601300,1.010601318359375,-0.2558222147769533,-0.013664953410625458,-0.12006296655642057,-0.04336407408118248,-0.010019107269713404,0.9773457905024131,-0.0652459527849048,left,0.014387905597686768,-0.3445053176019893,-2.3356790362998843,-8.930037261340022,-0.17401054632478297,0.2389499992132187,-0.010044962167739868,3.3120115016013383,-0.008997738361358643
1746729002284601000,1.05060107421875,-0.2542816738343298,-0.07647859305143356,-0.11935338728554891,0.09228287637233734,-0.011552080729581889,0.9780462349916712,-0.06710103535272108,left,-0.003941059112548828,-0.33696193602579727,-2.32813768100962,-8.957550706687568,-0.17043108830147757,0.042115718126297,-0.0013127028942108154,3.2422891460776326,-0.010013222694396973
1746729002324601000,1.09060107421875,-0.25398426277983704,-0.06207197904586792,-0.11897988339092568,0.05285346508026123,-0.01298314608248343,0.978081960538297,-0.0699174194901066,left,-0.006454646587371826,-0.33652654147518263,-2.325828088892996,-8.959608223739266,-0.1703844604094285,-0.017523743212223053,0.002271682024002075,3.2382594521701336,-0.017334967851638794
1746729002364601000,1.13060107421875,-0.2544483911439539,-0.04840683937072754,-0.11898591223555817,0.009257372468709946,-0.014294775367098373,0.9780653446793296,-0.07263141155309315,left,-0.005582094192504883,-0.3361607353507238,-2.3302841915190218,-8.959673690190911,-0.1703704737985075,-0.015839871019124985,-0.0008581280708312988,3.2348730246022344,-0.008949041366577148
1746729002404601000,1.17060107421875,-0.25493441396439087,-0.041254930198192596,-0.1191006848994582,0.004015869460999966,-0.015148918269740876,0.9780901920082578,-0.07435201088030034,left,-0.009349644184112549,-0.33533668578838655,-2.3353100568570193,-8.961116874736547,-0.1700740977491441,-0.007311712950468063,-0.0010065138339996338,3.22724296811521,-0.007251530885696411
1746729002444601300,1.210601318359375,-0.2549994144877174,-0.035856541246175766,-0.11903507757134668,0.01646585948765278,-0.015875679621404595,0.9781346542142685,-0.07575004665904,left,-0.006729543209075928,-0.3345978408829041,-2.3364932752922174,-8.963269668856263,-0.16979710521497476,-0.0022642039693892,-0.0006357580423355103,3.220400262613594,-0.005110025405883789
1746729002484601300,1.250601318359375,-0.25496357325368574,-0.02795102819800377,-0.11887940621221105,-0.08816885948181152,-0.016636396940735463,0.9781112105812465,-0.07732089639287514,left,-0.001861274242401123,-0.33475849751258896,-2.3360414398714897,-8.962852904748916,-0.1699686749484213,-0.16451804339885712,-0.0028912127017974854,3.2218881630837917,0.0021047890186309814
1746729002524601300,1.290601318359375,-0.2549602120747037,-0.06325575709342957,-0.11851689904242482,0.005219951272010803,-0.018224843305554943,0.9779181026642139,-0.08084144506175593,left,0.0002421736717224121,-0.3367829658303071,-2.3343615239605304,-8.956530715990066,-0.17116586789667318,-0.11721143126487732,-0.0073712170124053955,3.2406329033032057,-0.004114866256713867
1746729002564601000,1.33060107421875,-0.2541477005988479,-0.033144786953926086,-0.1178881422433018,0.01286865770816803,-0.019236436427049444,0.9778197365228488,-0.08297912428194298,left,-0.0006290078163146973,-0.3383500882774525,-2.325803831234574,-8.953498216426372,-0.17204943810286386,-0.11208616197109222,-0.005031287670135498,3.2551337223425505,0.0008398592472076416
1746729002604601000,1.37060107421875,-0.2533382184169429,-0.003033814951777458,-0.1172590989126321,0.020517364144325256,-0.02024802624023753,0.977719094454083,-0.08511669305597742,left,-0.0015045404434204102,-0.3399187356886862,-2.3172727342545985,-8.95042363128662,-0.1729325995946227,-0.10696089267730713,-0.0026886463165283203,3.269640678861737,0.005793929100036621
