time,seconds_elapsed,roll,rotationRateZ,quaternionY,rotationRateY,quaternionZ,quaternionW,yaw,devicelocation,accelerationZ,pitch,gravityX,gravityZ,quaternionX,rotationRateX,accelerationX,gravityY,accelerationY
1746738806449808100,0.49480810546875,0.18058924893657735,-0.07779760658740997,0.08719607772150484,0.015013955533504486,1.0361655326888085e-17,0.985129107073379,-0.026994865592097832,right,-0.06802839040756226,0.29598928648582307,1.684770803644508,-9.22765768738985,0.14804468624068934,0.004467057064175606,-0.10695123672485352,-2.860465419209003,0.3066374957561493
1746738806489808100,0.53480810546875,0.09243090726769701,-0.00988883525133133,0.0461775022955985,-0.0030456967651844025,0.000632626900439493,0.9986738539608938,-0.0008386710009188903,right,-0.007241427898406982,0.045520329878313594,0.904209916768223,-9.754673144525288,0.02275326655304276,-0.025154775008559227,-0.023186616599559784,-0.446247720255889,0.06000031530857086
1746738806529808400,0.574808349609375,0.0705156114763406,0.02759157121181488,0.035254200025877286,0.0025343974120914936,0.001548317388295307,0.9993737190481395,0.002911545004709141,right,-0.005011320114135742,0.005302354729746489,0.6909393604010343,-9.78214099716544,0.0025982074588605636,-0.0788271427154541,-0.0018424168229103088,-0.05199796219482086,0.025250501930713654
1746738806569808100,0.61480810546875,0.06623323118362517,0.020544353872537613,0.03309632776459339,-0.027392392978072166,0.0024994671346382927,0.9994353925580823,0.005341416504261786,right,-0.002315521240234375,-0.010252920375466337,0.64901730434224,-9.784633398503065,-0.005212036308604701,-0.11431103944778442,-0.0004051029682159424,0.10054519028072245,0.022392507642507553
1746738806609385200,0.65438525390625,0.06611128263019048,0.01006679330021143,0.033016471455705916,-0.04272634908556938,0.00305262422733825,0.9994051132419408,0.006728731292927191,right,0.0024374776985496283,-0.01874490303704897,0.6477442887317388,-9.783507609343529,-0.009478328072140049,-0.08343479037284851,-0.0054854340851306915,0.18381410545939578,0.01963396929204464
1746738806649385200,0.69438525390625,0.0647134234496093,0.013787724077701569,0.03230272788288726,-0.02078889310359955,0.00353068320540742,0.9994015869756462,0.007824934302002725,right,0.0072438716888427734,-0.02345943218619948,0.6340045902580023,-9.7834298679322,-0.011849781987054133,-0.05275716260075569,-0.0048432908952236176,0.2300375119739212,0.024204071611166
1746738806689385200,0.73438525390625,0.0633205637858756,0.017508653923869133,0.031588779472474106,0.0011485684663057327,0.004008713596185749,0.9993916663869278,0.008914664418252529,right,0.012025773525238037,-0.028175485773681397,0.6203014974676072,-9.7831124725461,-0.014221160596028232,-0.02207953669130802,-0.0042048729956150055,0.276270745762717,0.028773175552487373
1746738806729385200,0.77438525390625,0.06327745509265387,-0.006892658770084381,0.03155772279352655,0.046536825597286224,0.0041029359472041565,0.9993699605083474,0.00919668806734239,right,0.009105563163757324,-0.031141650312693434,0.6198251851927489,-9.782278359809517,-0.015707684284505426,-0.040942706167697906,0.001720234751701355,0.3053460883984342,0.03650518134236336
1746738806769385200,0.81438525390625,0.0646937267266674,-0.056510645896196365,0.03226273352124488,0.07618334889411926,0.003354236093853924,0.9993018020406957,0.007905193486345583,right,0.0010755062103271484,-0.03683542077538695,0.6335562619686126,-9.779497204658389,-0.01853470338131822,-0.04185277596116066,0.0068635493516922,0.36115057586990296,0.02731482684612274
1746738806809385200,0.85438525390625,0.06609952988590045,-0.055524714291095734,0.0329748710479301,0.04158398136496544,0.002367105457531066,0.9992441781352936,0.006083942945508478,right,-0.0062073469161987305,-0.040710873861863624,0.6472063824627549,-9.777126383873819,-0.020443321136955833,-0.011625947430729866,0.0024090632796287537,0.3991272187711671,0.015170909464359283
