time,seconds_elapsed,z,y,x
1746728588016311600,0.0163115234375,-0.11639335967525839,-0.022967034089565276,-0.02310971222957596
1746728588026330600,0.02633056640625,-0.09319310135170816,-0.026225743624567983,-0.038743261625897134
1746728588036349700,0.036349609375,-0.10451602100729941,-0.02189677450954914,-0.03962030932190828
1746728588046368800,0.04636865234375,-0.11676043942198157,-0.01684825894832611,-0.024580524567654354
1746728588056387600,0.0563876953125,-0.11293240556642413,-0.015106383717060088,-0.022376995774544776
1746728588066406700,0.06640673828125,-0.11434329527765512,-0.018003274202346802,-0.01693017421127297
1746728588076425700,0.07642578125,-0.13439356513768433,-0.023724574458599088,-0.017029141073720527
1746728588086445800,0.08644580078125,-0.14792261653542518,-0.01641395918428898,-0.02776797723104246
1746728588096465000,0.09646484375,-0.14494535429030656,-0.023293781825900077,-0.01668944252426736
1746728588106483700,0.106483642578125,-0.13508037835806608,-0.019817045626044274,-0.02481791352010332
1746728588116502800,0.116502685546875,-0.11932780569195747,-0.0202080907702446,-0.032685158030176534
1746728588126521900,0.12652197265625,-0.13244272333085536,-0.022281974434852598,-0.03348503970359452
1746728588136540700,0.136540771484375,-0.11626900264322756,-0.02681026551425457,-0.03257408060482703
1746728588146559700,0.146559814453125,-0.11278700574636459,-0.017310615763068197,-0.022338252933043985
1746728588156578800,0.156578857421875,-0.1120984389603138,-0.018629297146201134,-0.02223398884097114
1746728588166598000,0.166597900390625,-0.12297346871793269,-0.026074936977028847,-0.020705582830449563
1746728588176616700,0.17661669921875,-0.14467384387254714,-0.015366495957970619,-0.028579101817682383
1746728588186635800,0.1866357421875,-0.14512655607610941,-0.02366144609451294,-0.025603912798641246
1746728588196654800,0.19665478515625,-0.13513210854530333,-0.025333763220906257,-0.02570716311056167
1746728588206674700,0.2066748046875,-0.11625731220543384,-0.01773965483009815,-0.02732577728834003
1746728588216693800,0.21669384765625,-0.11774550493657589,-0.019418986219167707,-0.029414986386243253
1746728588226712600,0.226712646484375,-0.11938099718391895,-0.023644494959712027,-0.024276417921390382
1746728588236731600,0.236731689453125,-0.11423252837955951,-0.023275077125430105,-0.01343802124657668
1746728588246750700,0.246750732421875,-0.1166634087882936,-0.01798106237053871,-0.014771808867296203
1746728588256769500,0.25676953125,-0.12507818591222167,-0.02061784061491489,-0.02881791554223746
1746728588266788600,0.26678857421875,-0.12674699590727687,-0.020597382348775863,-0.034494947398500515
1746728588276807700,0.2768076171875,-0.13044248942434786,-0.01809562866091728,-0.020960891032079234
1746728588286826800,0.28682666015625,-0.12380524336695671,-0.017543839997053147,-0.023069480683887377
1746728588296845600,0.296845458984375,-0.12270268895253539,-0.020282325050234792,-0.01523699695994146
1746728588306864600,0.30686474609375,-0.12308788887783885,-0.0254191034168005,-0.03641288244957104
1746728588316884700,0.316884765625,-0.12496376575231552,-0.016640169155597687,-0.025792959964182228
1746728588326903800,0.32690380859375,-0.12423019078075885,-0.020593290695548057,-0.019265841484069825
1746728588336922600,0.336922607421875,-0.12212050515040755,-0.02787935605049133,-0.02351767197595909
1746728588346941700,0.346941650390625,-0.10770224982798099,-0.019876082336902617,-0.01900783900185488
1746728588356960300,0.356960205078125,-0.11817673596069216,-0.02596153973042965,-0.019680979889910667
1746728588366979300,0.366979248046875,-0.12656477120816706,-0.028419454276561736,-0.033217346944427115
1746728588376998100,0.376998046875,-0.12599077071249484,-0.029229017093777655,-0.01733440763060935
1746728588387017200,0.387017333984375,-0.12461626748889684,-0.02376549099087715,-0.025456019627396017
1746728588397036300,0.397036376953125,-0.11713701764941215,-0.01604921752512455,-0.028661227143183348
1746728588407055000,0.40705517578125,-0.11648147635012865,-0.02390928337574005,-0.018924416768411174
1746728588417074200,0.41707421875,-0.10732333351299166,-0.02574234402179718,-0.023932180194137617
1746728588427094300,0.42709423828125,-0.10661781559213995,-0.01999707836806774,-0.018621972356271
1746728588437113300,0.43711328125,-0.10965206872150302,-0.029482115072011945,-0.017577495671482757
1746728588447132400,0.44713232421875,-0.1177232931047678,-0.019407880303263663,-0.010841090955398976
1746728588457151200,0.457151123046875,-0.1312231184080243,-0.02126490634679794,-0.014618289672862737
1746728588467170300,0.46717041015625,-0.12175386379510164,-0.022505261796712875,-0.03409065918023698
1746728588477189400,0.477189453125,-0.11304741024821996,-0.02553834588229656,-0.029028864012332633
1746728588487208400,0.48720849609375,-0.11588935567587613,-0.026918986585736274,-0.02362730636289343
1746728588497227300,0.497227294921875,-0.11608750859647989,-0.018562077128887175,-0.030989852753840384
1746728588507246300,0.507246337890625,-0.10921674604415893,-0.02012391961812973,-0.022050613364391028
1746728588517265400,0.517265380859375,-0.11019801216647028,-0.02424772154986858,-0.014210996646760031
1746728588527284200,0.5272841796875,-0.12036577043756842,-0.02105857011973858,-0.02659788313889876
1746728588537303300,0.53730322265625,-0.12304156551808118,-0.026848259437084198,-0.02590073118759319
1746728588547323100,0.5473232421875,-0.13230419164299964,-0.017907412612438202,-0.021554765272000804
1746728588557342200,0.55734228515625,-0.12936696914732457,-0.018226561564207076,-0.018007740314910186
1746728588567361300,0.567361328125,-0.11591741272658108,-0.02816518725454807,-0.023352489743195474
1746728588577380000,0.577380126953125,-0.11643296103328465,-0.018373861080408095,-0.02407283077384345
1746728588587399200,0.587399169921875,-0.10659399632513522,-0.026429741764068603,-0.021617464377824216
1746728588597418200,0.597418212890625,-0.11582651957273482,-0.028452772024273872,-0.022029862837307155
1746728588607437300,0.607437255859375,-0.11222235760092734,-0.02208791316747665,-0.01896449305047281
1746728588617456000,0.6174560546875,-0.10341127463579178,-0.03385550785064697,-0.027199219166068357
1746728588627475200,0.62747509765625,-0.11631737182959914,-0.024752163940668103,-0.023442433048970996
1746728588637494300,0.637494384765625,-0.13066460774242877,-0.03035772886276245,-0.021870973348012194
1746728588647513000,0.64751318359375,-0.1108516537696123,-0.020976737055182455,-0.028477075348468495
1746728588657532200,0.6575322265625,-0.10814765550792217,-0.018880641558766363,-0.015685864105448127
1746728588667552300,0.66755224609375,-0.11747253321409225,-0.023808161088824272,-0.01927473717657849
1746728588677571300,0.6775712890625,-0.102327278791368,-0.02651040578484535,-0.025620498607261104
1746728588687590400,0.68759033203125,-0.11542948307916522,-0.03415712114572525,-0.03270782651971094
1746728588697609200,0.697609130859375,-0.11707944224327801,-0.02891805144846439,-0.011992964404262601
1746728588707628300,0.707628173828125,-0.09724106156826019,-0.01774666909277439,-0.026429586500441655
1746728588717647400,0.7176474609375,-0.10090542929470539,-0.027823826470971105,-0.016525447601592167
1746728588727666200,0.727666259765625,-0.11099603067636489,-0.028027240088582036,-0.03315877602444962
1746728588737685200,0.737685302734375,-0.11769377474933862,-0.024776129338145256,-0.03418018236090429
1746728588747704300,0.747704345703125,-0.11151669354960322,-0.02014554692804813,-0.025253756787255405
1746728588757723400,0.757723388671875,-0.11030147254094481,-0.02056348007917404,-0.03083425120017491
1746728588767742200,0.7677421875,-0.09695216162428259,-0.01958849756717682,-0.02138559185070917
1746728588777762000,0.777761962890625,-0.09783201319873333,-0.02531272043287754,-0.018419563385657964
1746728588787781000,0.787781005859375,-0.10764584346562624,-0.026889760491251944,-0.02338172497083433
1746728588797800200,0.79780029296875,-0.11559709473103284,-0.02803191626369953,-0.013499596974393352
1746728588807819300,0.8078193359375,-0.12043605919480323,-0.021054478466510772,-0.007896068745758385
1746728588817838000,0.817838134765625,-0.11598083335161208,-0.020929975304007527,-0.021738542607380076
1746728588827857200,0.827857177734375,-0.1160444001071155,-0.02857961327433586,-0.024777809838578104
1746728588837876200,0.837876220703125,-0.12322715121805668,-0.022328736186027525,-0.02355533710522577
1746728588847895000,0.84789501953125,-0.11019932734072208,-0.025658172869682312,-0.022349139653239397
1746728588857914000,0.8579140625,-0.09618234629556537,-0.024517770662903785,-0.020222831681650132
1746728588867933200,0.86793310546875,-0.10073971733897924,-0.021243863558769224,-0.018726556108752266
1746728588877952300,0.8779521484375,-0.10755261222422122,-0.024286884516477585,-0.020373875791206954
1746728588887971000,0.88797119140625,-0.10313830291330814,-0.026314590951800346,-0.01691437385394238
1746728588897990100,0.897990234375,-0.11325053160488605,-0.023252865293622017,-0.028327556475717573
1746728588908010200,0.90801025390625,-0.11385288141220808,-0.021038696375489233,-0.025300107546476647
1746728588918029300,0.918029296875,-0.10829787763357161,-0.026429157242178914,-0.011220262998715043
1746728588928048400,0.92804833984375,-0.11815379347652197,-0.031554829692840576,-0.04406136964242905
1746728588938067200,0.938067138671875,-0.10508110754415392,-0.028723990181088444,-0.007871856753109023
1746728588948086300,0.948086181640625,-0.09370455800518393,-0.029208558827638623,-0.03876684343088418
1746728588958105300,0.958105224609375,-0.09501549447327852,-0.031046880170702933,-0.01498019092096947
1746728588968124200,0.968124267578125,-0.10084171640872955,-0.024081717333197594,-0.025501192209683356
1746728588978143200,0.978143310546875,-0.09544511806219816,-0.023404256463050842,-0.012509234230173751
1746728588988162300,0.988162353515625,-0.10079714661464094,-0.025573417195677756,-0.016275838488386943
1746728588998181400,0.998181396484375,-0.12254252995476125,-0.028473814812302586,-0.022717689837841316
1746728589008200200,1.0082001953125,-0.11442249799370766,-0.028182138389348983,-0.029087900723190976
1746728589018219300,1.01821923828125,-0.1215112872108817,-0.020755787780880927,-0.017823314525559544
1746728589028238300,1.02823828125,-0.1020356023684144,-0.015371756654977798,-0.016170314020989462
1746728589038258400,1.038258544921875,-0.09773498256504536,-0.03182254071831703,-0.012306277270289137
1746728589048277200,1.04827734375,-0.10112667082995176,-0.032464930275082585,-0.023543655800586566
1746728589058296300,1.05829638671875,-0.09961305139660835,-0.025020459488034247,-0.024139904660684986
1746728589068315400,1.0683154296875,-0.10956190622001885,-0.017473112848401067,-0.028520046840514988
1746728589078334200,1.078334228515625,-0.10428776520937681,-0.023535189366340636,-0.02218591191554442
1746728589088353300,1.088353271484375,-0.11637830823659896,-0.02536883453428745,-0.010949446700699627
1746728589098372000,1.0983720703125,-0.11220526033565402,-0.02213993561565876,-0.010246339932642876
1746728589108391200,1.10839111328125,-0.11642141672596334,-0.02698971373438835,-0.01514028598666191
1746728589118410200,1.11841015625,-0.10728957737386226,-0.021485271099209783,-0.0190359873841051
1746728589128429000,1.128428955078125,-0.11078443375229835,-0.02405132219493389,-0.021131178698223084
1746728589138448100,1.1384482421875,-0.09513649050444364,-0.015242577317357063,-0.022600794593058526
1746728589148467200,1.14846728515625,-0.08915040183216333,-0.02937690113186836,-0.018313417863752693
1746728589158486300,1.158486328125,-0.0838318371579051,-0.03440145129561424,-0.026563332415325564
1746728589168506000,1.168506103515625,-0.09769231246709822,-0.028196751436591148,-0.020680868514301252
1746728589178525200,1.178525146484375,-0.09499766655564308,-0.021947043392062184,-0.023859863876597956
1746728589188544300,1.188544189453125,-0.09751739429160952,-0.021387655943632126,-0.024478507231594993
